"Date","Year","Number","Effort","Course","Ship.lat","Ship.lon","Angle","Dist.nm","Sight.lat","Sight.lon"
"Oct 18",2008,9,"on",179,31.179,-114.576666666667,353,1.81,31.1491269132596,-114.571760997824
"Oct 18",2008,10,"on",179,31.1626666666667,-114.576166666667,335,1.37,31.1421442026095,-114.564471810312
"Oct 18",2008,11,"on",179,31.1458333333333,-114.576,290,1.99,31.1350353228772,-114.539362743056
"Oct 18",2008,12,"on",180,31.064,-114.576833333333,345,1.06,31.0469353104022,-114.571496308631
"Oct 18",2008,14,"off",180,31.053,-114.576833333333,20,0.9,31.0389046106882,-114.582820959446
"Oct 18",2008,15,"on",180,31.0501666666667,-114.576833333333,11,0.51,31.0418228356074,-114.57872629933
"Oct 18",2008,16,"on",180,31.0373333333333,-114.576833333333,318,1.14,31.0232135816493,-114.561997748393
"Oct 18",2008,18,"on",180,31.0063333333333,-114.576333333333,355,2.54,30.9641610911141,-114.572030547118
"Oct 18",2008,19,"on",180,31.002,-114.576333333333,10,1.42,30.9786928831787,-114.581126744989
"Oct 18",2008,20,"on",180,30.9951666666667,-114.576166666667,307,0.9,30.9861394413194,-114.562192974539
"Oct 18",2008,21,"on",180,30.9841666666667,-114.576,304,0.35,30.9809047080631,-114.570359228899
"Oct 18",2008,22,"on",179,30.9725,-114.575833333333,283,0.59,30.9704555350403,-114.564615600821
"Oct 18",2008,23,"on",98,30.9688333333333,-114.572166666667,286,1.14,30.9861906970285,-114.563152233376
"Oct 18",2008,24,"on",98,30.9688333333333,-114.561666666667,288,1.25,30.9875582092979,-114.551013505987
"Oct 18",2008,25,"on",98,30.9688333333333,-114.559833333333,320,0.68,30.9748390849946,-114.548623529476
"Oct 18",2008,26,"on",98,30.9688333333333,-114.553166666667,328,1.42,30.9784594338861,-114.527949075602
"Oct 18",2008,27,"on",98,30.969,-114.545666666667,309,2.23,30.9943476057157,-114.513957141358
"Oct 18",2008,28,"on",98,30.9691666666667,-114.538333333333,279,1.14,30.98733645703,-114.531853472409
"Oct 18",2008,29,"on",98,30.9695,-114.532333333333,294,1.42,30.989570471609,-114.517703690761
"Oct 18",2008,30,"off",98,30.9695,-114.530666666667,27,0.51,30.964624600291,-114.522546651371
"Oct 18",2008,31,"on",1,30.9871666666667,-114.526333333333,70,0.81,30.9915618367518,-114.51144315792
"Oct 18",2008,33,"off",1,30.9871666666667,-114.526333333333,63,0.51,30.9908928214144,-114.517421397584
"Oct 18",2008,32,"on",1,30.9925,-114.526333333333,296,0.41,30.9956022684149,-114.533436105231
"Oct 18",2008,34,"on",1,31.0238333333333,-114.526333333333,80,2.54,31.0304557256867,-114.477538303197
"Oct 18",2008,35,"on",11,31.069,-114.522333333333,349,1.99,31.1021666666667,-114.522333333333
"Oct 18",2008,36,"on",11,31.072,-114.522333333333,347,1.53,31.097484466089,-114.523372627747
"Oct 18",2008,37,"on",11,31.077,-114.522333333333,330,1.81,31.1055231436972,-114.533803909934
"Oct 18",2008,38,"on",11,31.085,-114.523,350,1.33,31.107163290576,-114.522548165678
"Oct 18",2008,44,"off",11,31.089,-114.523333333333,322,0.51,31.0965735554556,-114.527839847851
"Oct 18",2008,39,"on",11,31.091,-114.5235,310,1,31.1039524326909,-114.535749810699
"Oct 18",2008,40,"on",11,31.1033333333333,-114.5245,288,1.06,31.111898303291,-114.542547582727
"Oct 18",2008,41,"on",11,31.1048333333333,-114.524666666667,35,0.59,31.1116641406428,-114.516404785432
"Oct 18",2008,42,"on",11,31.106,-114.524666666667,295,1.21,31.1178536692546,-114.543724089891
"Oct 18",2008,43,"on",11,31.1088333333333,-114.525,60,0.38,31.1108952649782,-114.518005720379
"Oct 18",2008,47,"off",356,31.1321666666667,-114.5255,340,1,31.147392424294,-114.533420811952
"Oct 18",2008,45,"on",356,31.1355,-114.5255,90,1.53,31.1372787900805,-114.495780445021
"Oct 18",2008,46,"on",356,31.1385,-114.5255,301,0.9,31.1453098574961,-114.541116016403
"Oct 19",2008,48,"on",179,31.0421666666667,-114.623666666667,359,0.26,31.0378359730829,-114.623490165282
"Oct 19",2008,51,"on",92,30.7496666666667,-114.524333333333,23,0.68,30.7448769930336,-114.512382128653
"Oct 19",2008,55,"on",359,30.8983333333333,-114.477333333333,29,1.14,30.9151093375977,-114.466936255017
"Oct 19",2008,56,"on",357,30.9086666666667,-114.478166666667,28,1,30.9237717964506,-114.469955880167
"Oct 19",2008,57,"on",357,30.9286666666667,-114.478166666667,88,0.68,30.9296544317511,-114.465004834352
"Oct 19",2008,58,"on",357,30.9601666666667,-114.476666666667,310,1.33,30.9735068996799,-114.497313945069
"Oct 19",2008,59,"on",357,30.9631666666667,-114.4765,346,1.11,30.980858304652,-114.482808909918
"Oct 21",2008,66,"on",180,31.2871666666667,-114.526,306,0.55,31.2817786351873,-114.517322512515
"Oct 21",2008,69,"off",180,31.2846666666667,-114.526,295,1.33,31.2752986285314,-114.502494408974
"Oct 21",2008,67,"on",180,31.279,-114.525833333333,299,1.14,31.2697886172153,-114.506391260443
"Oct 21",2008,68,"on",180,31.2746666666667,-114.5255,331,0.63,31.2654831597417,-114.519544607105
"Oct 24",2008,76,"off",359,30.8935,-114.528166666667,70,0.3,30.8952918397477,-114.522726900323
"Oct 24",2008,77,"on",1,30.9375,-114.529,350,0.38,30.9437553594904,-114.530155163117
"Oct 24",2008,78,"on",2,30.9473333333333,-114.528833333333,274,0.36,30.9479605041129,-114.535790993888
"Oct 24",2008,79,"on",273,31.0206666666667,-114.555333333333,10,1,31.0244158509057,-114.574283731597
"Oct 24",2008,80,"on",179,30.9671666666667,-114.577166666667,38,0.38,30.9621086417697,-114.581611518935
"Oct 24",2008,81,"on",179,30.9618333333333,-114.577333333333,298,1.33,30.9517698772558,-114.554303211928
"Oct 24",2008,82,"on",179,30.96,-114.577333333333,26,1.33,30.9399101773874,-114.58825552275
"Oct 24",2008,87,"on",178,30.7958333333333,-114.576833333333,270,1.99,30.7969908333073,-114.538245472745
"Oct 24",2008,96,"on",359,31.0508333333333,-114.623666666667,294,1.14,31.0582572247746,-114.644083092879
"Oct 24",2008,97,"on",359,31.0841666666667,-114.623833333333,85,1,31.0859088077211,-114.604478500034
"Oct 24",2008,98,"on",0,31.0966666666667,-114.623833333333,270,1.42,31.0966666666667,-114.651471714605
"Oct 25",2008,102,"on",179,31.287,-114.426166666667,298,1.73,31.2739099405908,-114.396108366521
"Oct 25",2008,103,"on",179,31.2861666666667,-114.426166666667,288,2.97,31.2716942672829,-114.370783218136
"Oct 25",2008,104,"on",179,31.2838333333333,-114.426166666667,47,1.99,31.2607938307131,-114.454076948777
"Oct 25",2008,105,"on",179,31.282,-114.426166666667,335,1.99,31.2521899974644,-114.409159478622
"Oct 25",2008,106,"on",179,31.2751666666667,-114.426333333333,40,1.81,31.251722763496,-114.448540119218
"Oct 25",2008,108,"on",179,31.269,-114.426333333333,1,1.99,31.2358333333333,-114.426333333333
"Oct 25",2008,109,"on",179,31.2646666666667,-114.426333333333,292,1.53,31.2555282839533,-114.398485205667
"Oct 25",2008,110,"on",179,31.2618333333333,-114.426333333333,15,2.54,31.220757480921,-114.438309059852
"Oct 25",2008,112,"on",179,31.2445,-114.426166666667,33,1.81,31.2189172157659,-114.444859399748
"Oct 25",2008,113,"on",180,31.2325,-114.426166666667,23,0.38,31.2266701359281,-114.429060554889
"Oct 25",2008,114,"on",180,31.2223333333333,-114.4265,60,0.32,31.2196666666667,-114.431900930329
"Oct 25",2008,127,"on",359,30.8991666666667,-114.374833333333,287,0.75,30.9026121336144,-114.38883705146
"Oct 25",2008,129,"on",359,30.9271666666667,-114.3745,325,1.08,30.9417289725654,-114.386835606542
